Student,LPIPS,SSIM
112590031.png,0.0,1.0
112590021.png,0.2998398244380951,0.5299770707122401
112590057.png,0.322764128446579,0.5433786063199557
112590026.png,0.33365657925605774,0.5220796128374774
112590052.png,0.353689968585968,0.5187524317546475
110590456.png,0.3710653781890869,0.5350362457390254
112590024.png,0.3728983402252197,0.4958562550379564
109810011.png,0.37408870458602905,0.5312413371169274
112590035.png,0.3746466040611267,0.5128151006793283
110820009.png,0.3881846070289612,0.5490556283565237
112590053.png,0.39581185579299927,0.47966396516421
111332012.png,0.4237666130065918,0.5331938752760367
112590009.png,0.42456158995628357,0.5155305912428078
112590060.png,0.4437934160232544,0.5412306622385507
112590041.png,0.44718489050865173,0.538690573374501
112590022.png,0.44764578342437744,0.512416892268111
112590038.png,0.4501540958881378,0.562984422583624
112590023.png,0.4632525146007538,0.5377928915683231
112590005.png,0.46482858061790466,0.518272493013174
113378043.png,0.4648888111114502,0.5108652693601766
112590036.png,0.46576038002967834,0.5480093857521456
112590007.png,0.4660698175430298,0.5170655070029356
112590059.png,0.4878988564014435,0.57196410614838
112590018.png,0.4937557280063629,0.38414581398750575
112590030.png,0.4963931739330292,0.49704526328940773
112590033.png,0.5123634338378906,0.5177712533132902
112590029.png,0.5184836983680725,0.5577097191691842
112590056.png,0.5413892865180969,0.5538104900536976
112590003.png,0.5520686507225037,0.5513919659116064
112590012.png,0.5803056955337524,0.5468058101439851
110590041.png,0.5839418172836304,0.5227978713400122
